fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-09-22,37.5,-22318.6,1,0,6,-9
2023-09-23,100,-4731.5,0,0,0,-9
2023-09-24,100,-2403.8,0,0,1,-9
2023-09-25,100.0,6232.3,3,0,0,-9
2023-09-26,100,6695.9,0,0,0,-9
2023-09-27,100.0,2767.9,1,0,0,-9
2023-09-28,100.0,-8837.9,1,0,0,-9
2023-09-29,100.0,1497.4,1,0,0,-9
2023-09-30,19.6,-35926.2,5,0,0,-9
2023-10-01,0.0,14567.8,3,0,0,-9
2023-10-02,100.0,6403.0,1,0,0,-9
2023-10-03,100.0,1934.0,1,0,0,-9
2023-10-04,100.0,1498.2,2,0,0,0.0
2023-10-05,100.0,-2386.4,1,0,0,0.0
2023-10-06,99.9,-12534.2,2,0,0,0.0
2023-10-07,100,3755.6,0,0,0,0.0
2023-10-08,100,1176.4,0,0,0,5.0
2023-10-09,100.0,3540.3,1,0,0,0.0
2023-10-10,100.0,-13214.0,1,0,0,0.0
2023-10-11,100.0,10474.2,1,0,0,0.0
2023-10-12,100.0,-876.7,1,0,0,0.0
2023-10-13,100.0,-10242.9,1,0,0,0.0
2023-10-14,100,3925.8,0,0,0,0.0
2023-10-15,100,-814.0,0,0,0,0.0
2023-10-16,100.0,-6711.0,1,0,0,0.0
2023-10-17,100,8737.8,0,0,0,0.0
2023-10-18,100.0,-10253.8,1,0,0,0.0
2023-10-19,100.0,10368.9,1,0,1,5.0
2023-10-20,100.0,111.2,2,0,0,0.0
2023-10-21,100.0,403.8,1,0,0,0.0
2023-10-22,100,-14562.6,0,0,0,0.0
2023-10-22,100.0,-14562.6,1,0,0,0.0
2023-10-23,100,10877.7,0,0,0,0.0
2023-10-24,100,2901.0,0,0,0,0.0
2023-10-25,100.0,-6125.1,2,0,0,0.0
2023-10-26,100.0,3720.7,1,0,0,0.0
2023-10-27,100,438.8,0,0,0,0.0
2023-10-28,100,-7537.9,0,0,0,0.0
2023-10-29,100,-7049.1,0,0,0,0.0
2023-10-30,100.0,13132.5,1,0,0,0.0
2023-10-31,100,-9332.8,0,0,0,0.0
2023-11-01,100,-10528.1,0,0,1,0.0
2023-11-02,100.0,15159.9,1,0,1,0.0
2023-11-03,100,-556.7,0,0,0,0.0
2023-11-04,100,-1636.9,0,0,0,0.0
2023-11-05,100,1272.3,0,0,0,0.0
2023-11-06,100,-10267.9,0,0,0,0.0
2023-11-07,100.0,3187.6,2,0,0,0.0
2023-11-08,100,4651.6,0,0,0,0.0
2023-11-09,100.0,-6860.6,5,0,0,0.0
2023-11-10,100.0,-1685.7,4,0,1,0.0
2023-11-11,100,-1762.2,0,0,0,0.0
2023-11-12,100.0,-2615.2,1,0,0,0.0
2023-11-13,100,7201.9,0,0,0,0.0
2023-11-14,100,-1743.4,0,0,0,0.0
2023-11-15,100,2931.0,0,0,0,0.0
2023-11-16,100,4907.6,0,0,0,5.0
2023-11-17,100.0,379.7,2,0,0,0.0
2023-11-18,100,567.2,0,0,0,0.0
2023-11-19,100,99.8,0,0,0,0.0
2023-11-20,100.0,-1295.4,1,0,0,0.0
2023-11-21,100.0,-1512.5,1,0,0,0.0
2023-11-22,100,2218.8,0,0,0,0.0
2023-11-23,100.0,-775.8,2,0,0,0.0
2023-11-24,100.0,-2476.7,1,0,0,0.0
2023-11-25,100.0,-11738.1,1,0,0,0.0
2023-11-26,100,6515.6,0,0,0,0.0
2023-11-27,100,-3216.7,0,0,0,0.0
2023-11-28,100.0,5149.5,1,0,0,0.0
2023-11-29,100,-4861.7,0,0,0,0.0
2023-11-30,100.0,2507.3,1,0,0,0.0
2023-12-01,100,-991.4,0,0,0,0.0
2023-12-02,100,668.9,0,0,3,5.0
2023-12-03,100,883.4,0,0,0,0.0
2023-12-04,100,-97.7,0,0,0,0.0
2023-12-05,100,-237.7,0,0,0,0.0
2023-12-06,100,110.3,0,0,0,0.0
2023-12-07,100,1158.3,0,0,0,0.0
2023-12-08,100,-10268.8,0,0,0,0.0
2023-12-09,100,-2433.1,0,0,0,0.0
2023-12-10,100,-6998.0,0,0,0,0.0
2023-12-11,100,12498.2,0,0,1,0.0
2023-12-12,100,1520.0,0,0,0,0.0
2023-12-13,100.0,-1214.2,1,0,0,0.0
2023-12-14,100,-288.7,0,0,0,0.0
2023-12-15,100,-3137.7,0,0,0,0.0
2023-12-16,100.0,-11448.0,1,0,0,0.0
2023-12-17,100,6475.3,0,0,1,0.0
2023-12-17,100.0,6475.3,1,0,1,0.0
2023-12-18,100,-5921.2,0,0,0,0.0
2023-12-19,100.0,11264.4,1,0,0,0.0
2023-12-20,100,2903.0,0,0,0,0.0
2023-12-21,100.0,-1888.5,1,0,0,0.0
2023-12-22,100,1418.1,0,0,0,0.0
2023-12-23,100,-12721.8,0,0,0,0.0
2023-12-24,100,1096.7,0,0,0,0.0
2023-12-25,100,1091.0,0,0,0,0.0
2023-12-26,100,4464.1,0,0,0,0.0
2023-12-27,100,-5389.6,0,0,0,0.0
2023-12-28,100,558.1,0,0,0,0.0
2023-12-29,100,4429.7,0,0,0,0.0
2023-12-30,100,-3299.5,0,0,0,0.0
2023-12-31,100,4852.9,0,0,0,0.0
2024-01-01,100.0,-1517.6,1,0,0,0.0
2024-01-02,100.0,355.7,1,0,1,0.0
2024-01-03,100,454.7,0,0,0,0.0
2024-01-04,100,-41.4,0,0,0,0.0
2024-01-05,100,-733.5,0,0,0,5.0
2024-01-06,100.0,-713.7,1,0,0,5.0
2024-01-07,100,762.1,0,0,0,0.0
2024-01-08,100,-2180.0,0,0,0,0.0
2024-01-09,100.0,579.2,1,0,0,0.0
2024-01-10,100,767.2,0,0,0,0.0
2024-01-11,100,913.4,0,0,0,0.0
2024-01-12,100,-2208.2,0,0,0,0.0
2024-01-13,100,1114.9,0,0,0,0.0
2024-01-14,100,41.3,0,0,0,0.0
2024-01-15,100.0,-947.7,1,0,0,0.0
2024-01-16,100,-438.2,0,0,0,5.0
2024-01-17,100,1025.4,0,0,0,0.0
2024-01-18,100,1752.5,0,0,0,0.0
2024-01-19,100,-6095.6,0,0,2,0.0
2024-01-20,100.0,759.6,1,0,0,0.0
2024-01-21,100,3463.6,0,0,0,5.0
2024-01-22,100.0,-1579.6,1,0,0,-9
2024-01-23,100.0,-908.5,1,0,0,5.0
2024-01-24,100,1773.2,0,0,0,0.0
2024-01-25,100.0,-611.5,3,0,0,0.0
2024-01-26,100.0,-281.7,3,0,0,0.0
2024-01-27,100,582.3,0,0,0,0.0
2024-01-28,100,330.7,0,0,1,0.0
2024-01-29,100.0,1537.9,8,0,0,0.0
2024-01-30,100,-5550.6,0,0,0,0.0
2024-01-31,100.0,-48.0,1,0,0,0.0
