fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-50111.3,1,0,0,35.0
2023-01-02,100,-50011.8,0,0,0,35.0
2023-01-03,100,-50042.1,0,0,0,35.0
2023-01-04,100,-49649.9,0,0,0,35.0
2023-01-05,100,-49435.8,0,0,1,35.0
2023-01-06,100,-49522.7,0,0,0,35.0
2023-01-07,100,-49353.8,0,0,0,35.0
2023-01-08,100,-49342.4,0,0,0,35.0
2023-01-09,100,-49409.6,0,0,0,35.0
2023-01-10,100,-49187.2,0,0,0,35.0
2023-01-11,100,-49455.0,0,0,0,35.0
2023-01-12,100,-49563.4,0,0,1,35.0
2023-01-13,100,-49705.9,0,0,1,40.0
2023-01-14,100,-49695.2,0,0,0,35.0
2023-01-15,100,-49732.2,0,0,2,35.0
2023-01-16,100,-49835.8,0,0,0,35.0
2023-01-17,100,-49844.2,0,0,0,35.0
2023-01-18,100,-49833.0,0,0,0,35.0
2023-01-19,100,-49839.3,0,0,0,35.0
2023-01-20,100.0,-49944.9,1,0,0,40.0
2023-01-21,100,-49955.4,0,0,0,35.0
2023-01-22,100,-49983.8,0,0,1,35.0
2023-01-23,100,-50064.7,0,0,0,35.0
2023-01-24,100,-50071.0,0,0,0,35.0
2023-01-25,100.0,-50035.4,2,0,0,35.0
2023-01-26,100,-50015.2,0,0,0,35.0
2023-01-27,100.0,-50015.5,1,0,0,40.0
2023-01-28,100,-50027.4,0,0,0,35.0
2023-01-29,100,-50018.3,0,0,0,35.0
2023-01-30,100.0,-50008.2,1,0,0,35.0
2023-01-31,100,-49991.2,0,0,0,35.0
2023-02-01,100,-49980.7,0,0,1,35.0
2023-02-02,100,-49853.5,0,0,0,35.0
2023-02-03,100,-49877.9,0,0,0,35.0
2023-02-04,100,-49875.3,0,0,0,35.0
2023-02-05,100,-49791.3,0,0,0,35.0
2023-02-06,100,-49706.5,0,0,0,40.0
2023-02-07,99.8,-49722.3,4,0,0,40.0
2023-02-08,100,-49619.5,0,0,0,35.0
2023-02-09,100,-49413.8,0,0,0,35.0
2023-02-10,100,-49306.6,0,0,0,35.0
2023-02-11,100,-49159.5,0,0,0,35.0
2023-02-12,100,-48872.6,0,0,0,35.0
2023-02-13,100,-48793.1,0,0,0,35.0
2023-02-14,100.0,-48608.3,1,0,0,35.0
2023-02-15,100.0,-48443.6,2,0,1,35.0
2023-02-16,100.0,-48258.0,1,0,0,35.0
2023-02-17,100,-48150.7,0,0,0,35.0
2023-02-18,100.0,-47932.7,1,0,0,35.0
2023-02-19,100.0,-47662.0,1,0,0,35.0
2023-02-20,100.0,-47314.3,1,0,0,35.0
2023-02-21,100,-46955.9,0,0,0,35.0
2023-02-22,100,-46308.2,0,0,0,35.0
2023-02-23,100,-46420.0,0,0,0,35.0
2023-02-24,100,-46198.5,0,0,0,35.0
2023-02-25,100.0,-45928.1,1,0,0,35.0
2023-02-26,100.0,-45604.6,1,0,0,35.0
2023-02-27,100,-45301.5,0,0,0,35.0
2023-02-28,100,-45004.5,0,0,0,35.0
2023-03-01,100.0,-44626.0,1,0,0,35.0
2023-03-02,100.0,-44319.0,1,0,0,35.0
2023-03-03,100,-44008.5,0,0,0,35.0
2023-03-04,100,-43628.0,0,0,1,35.0
2023-03-05,100,-43429.5,0,0,0,35.0
2023-03-06,100,-43383.4,0,0,0,35.0
2023-03-07,98.6,-43609.9,1,0,0,35.0
2023-03-08,100,-45060.9,0,0,0,35.0
2023-03-09,100,-45664.2,0,0,0,35.0
2023-03-10,100,-46221.9,0,0,0,40.0
2023-03-11,100,-46276.4,0,0,1,35.0
2023-03-12,100,-46143.4,0,0,0,35.0
2023-03-13,100,-46220.9,0,0,0,35.0
2023-03-14,100,-46508.5,0,0,0,35.0
2023-03-15,100,-47577.8,0,0,0,35.0
2023-03-16,100,-48390.1,0,0,0,35.0
2023-03-17,100,-48901.0,0,0,0,35.0
2023-03-18,100,-49141.3,0,0,0,40.0
2023-03-19,98.4,-49382.4,1,0,0,35.0
2023-03-20,100,-49543.4,0,0,0,35.0
2023-03-21,100,-49604.0,0,0,1,35.0
2023-03-22,100,-49644.8,0,0,0,35.0
2023-03-23,100,-49675.3,0,0,0,35.0
2023-03-24,100,-49722.9,0,0,0,35.0
2023-03-25,100,-49709.1,0,0,0,35.0
2023-03-26,100,-49605.4,0,0,0,35.0
2023-03-27,100.0,-49535.7,1,0,0,35.0
2023-03-28,100.0,-49326.3,2,0,0,35.0
2023-03-29,100.0,-49240.4,1,0,0,35.0
2023-03-30,100.0,-49172.5,2,0,0,40.0
2023-03-31,100,-49048.6,0,0,0,35.0
2023-04-01,100,-49087.2,0,0,0,35.0
2023-04-02,100,-49227.0,0,0,0,35.0
2023-04-03,100,-49184.2,0,0,0,35.0
2023-04-04,100,-48924.0,0,0,0,40.0
2023-04-05,100.0,-48630.2,2,0,0,35.0
2023-04-06,100,-48565.0,0,0,0,35.0
2023-04-07,100,-49325.4,0,0,0,35.0
2023-04-08,100,-49632.5,0,0,0,35.0
2023-04-09,100,-49593.8,0,0,0,35.0
2023-04-10,100,-49443.2,0,0,0,35.0
2023-04-11,99.9,-49216.5,1,0,0,40.0
