fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-09-12,16.5,-4257.9,1,2023-9-12-0-0-0-0-72141.97_,0,0,[],-9
2023-09-13,100.0,-4789.5,1,2023-9-13-0-0-0-0-0.549999_,0,0,[],-9
2023-09-14,99.2,-4821.5,53,2023-9-14-15-26-26-760000-333.82999897003174_2023-9-14-15-32-48-859999-3.1300010681152344_2023-9-14-15-33-38-950000-18.31999897956848_2023-9-14-15-34-41-9999-5.050000190734863_2023-9-14-15-35-3-29999-6.460000991821289_2023-9-14-15-36-12-750000-9.269998788833618_2023-9-14-15-36-46-529999-9.36000108718872_2023-9-14-15-37-43-210000-15.250000238418579_2023-9-14-15-38-16-690000-2.2400002479553223_2023-9-14-15-39-4-430000-9.289999723434448_2023-9-14-15-39-38-240000-3.130000114440918_2023-9-14-15-40-3-260000-9.289999008178711_2023-9-14-15-41-4-409999-2.609999895095825_2023-9-14-15-41-30-69999-9.37000060081482_2023-9-14-15-42-44-590000-8.909998893737793_2023-9-14-15-43-13-39999-6.940001010894775_2023-9-14-15-43-40-550000-9.359999895095825_2023-9-14-15-44-14-440000-3.180000066757202_2023-9-14-15-44-40-570000-3.080000162124634_2023-9-14-15-45-5-140000-8.94999885559082_2023-9-14-15-45-35-839999-5.30000114440918_2023-9-14-15-46-1-740000-5.809998989105225_2023-9-14-15-46-27-479999-2.1000001430511475_2023-9-14-15-46-50-979999-5.059999942779541_2023-9-14-15-47-13-749999-2.0999999046325684_2023-9-14-15-47-30-409999-6.389999866485596_2023-9-14-15-48-10-309999-4.6200010776519775_2023-9-14-15-48-31-230000-2.0799989700317383_2023-9-14-15-48-56-609999-2.840000867843628_2023-9-14-15-49-24-370000-3.080000162124634_2023-9-14-15-50-13-910000-9.460000038146973_2023-9-14-15-51-17-370000-4.770000219345093_2023-9-14-15-51-40-270000-4.329998970031738_2023-9-14-15-52-27-79999-7.880000829696655_2023-9-14-15-53-19-430000-6.009999752044678_2023-9-14-15-53-47-590000-2.6799988746643066_2023-9-14-15-54-7-729999-2.3500001430511475_2023-9-14-15-54-35-179999-6.060000896453857_2023-9-14-15-55-32-210000-6.149999380111694_2023-9-14-15-56-29-369999-3.1999998092651367_2023-9-14-15-57-24-689999-2.7900006771087646_2023-9-14-15-57-49-650000-9.290000200271606_2023-9-14-15-58-42-50000-9.739999055862427_2023-9-14-15-59-13-329999-5.800000905990601_2023-9-14-15-59-40-420000-2.909998893737793_2023-9-14-16-2-43-179999-13.190001249313354_2023-9-14-16-6-57-990000-2.0599989891052246_2023-9-14-16-8-58-969999-9.119999885559082_2023-9-14-16-9-55-869999-3.190000057220459_2023-9-14-16-11-50-379999-18.750001192092896_2023-9-14-16-13-4-280000-8.930000066757202_2023-9-14-16-19-15-360000-2.9899990558624268_2023-9-14-16-21-39-619999-2.850001096725464_,0,2,2023-9-14-7-2-19-850000_2023-9-14-14-26-17-50000_,-9
2023-09-15,100,-4867.6,0,[],0,0,[],-9
2023-09-16,88.6,-4951.3,2,2023-9-16-1-13-11-970000-9759.819999217987_2023-9-16-5-39-6-649999-118.4300000667572_,0,0,[],-9
2023-09-17,100,-4846.6,0,[],0,0,[],-9
2023-09-18,100,-4834.0,0,[],0,0,[],-9
2023-09-19,0,-9,9,[],9,9,[],-9
2023-09-20,0,-9,9,[],9,9,[],-9
2023-09-21,0,-9,9,[],9,9,[],-9
2023-09-22,100.0,-4859.5,1,2023-9-22-0-0-0-0-2.5_,0,1,2023-9-22-20-44-29-700000_,-9
2023-09-23,100,-4941.1,0,[],0,2,2023-9-23-10-4-21-730000_2023-9-23-21-32-5-430000_,-9
2023-09-24,100.0,-4899.0,1,2023-9-24-19-21-38-420000-12.21999979019165_,0,2,2023-9-24-1-7-20-690000_2023-9-24-15-38-39-940000_,-9
2023-09-25,99.2,-4925.2,2,2023-9-25-0-0-0-0-3.73_2023-9-25-4-3-30-720000-661.6500000953674_,0,0,[],-9
2023-09-26,99.9,-5010.5,2,2023-9-26-12-50-0-299999-16.02999997138977_2023-9-26-12-50-20-479999-52.71000099182129_,0,2,2023-9-26-13-20-15-900000_2023-9-26-14-22-10-300000_,-9
2023-09-27,93.6,-5169.4,39,2023-9-27-0-0-0-0-2.41_2023-9-27-18-47-56-530000-11.680000066757202_2023-9-27-18-49-6-670000-11.909999132156372_2023-9-27-18-49-45-729999-4.010001182556152_2023-9-27-18-50-18-90000-11.769999265670776_2023-9-27-18-50-52-759999-7.269999980926514_2023-9-27-18-51-18-909999-3.2400009632110596_2023-9-27-18-51-41-790000-6.019998788833618_2023-9-27-18-52-19-709999-4.069999933242798_2023-9-27-18-52-49-369999-6.979999780654907_2023-9-27-18-53-53-659999-12.05000114440918_2023-9-27-18-54-37-630000-8.089998960494995_2023-9-27-19-9-15-799999-3.7699999809265137_2023-9-27-19-9-57-939999-3.830000162124634_2023-9-27-19-10-28-499999-7.6000001430511475_2023-9-27-19-11-7-189999-3.8399999141693115_2023-9-27-19-11-38-159999-7.690000057220459_2023-9-27-19-12-12-689999-11.450001001358032_2023-9-27-19-12-51-320000-2.81000018119812_2023-9-27-19-13-17-270000-11.47999882698059_2023-9-27-19-14-23-79999-11.52999997138977_2023-9-27-19-14-56-9999-6.509999990463257_2023-9-27-19-15-44-389999-7.119999885559082_2023-9-27-19-18-42-189999-3.220000982284546_2023-9-27-19-50-52-900000-12.599998950958252_2023-9-27-19-51-27-329999-7.880000829696655_2023-9-27-19-52-36-960000-3.0599989891052246_2023-9-27-19-53-40-329999-8.060000896453857_2023-9-27-19-54-16-290000-11.949999809265137_2023-9-27-19-55-30-650000-11.629999160766602_2023-9-27-19-56-29-199999-8.920000791549683_2023-9-27-19-57-13-890000-4.429999351501465_2023-9-27-19-57-47-679999-11.700001239776611_2023-9-27-19-58-23-540000-3.8999998569488525_2023-9-27-19-58-58-710000-12.009999752044678_2023-9-27-20-0-7-290000-8.239999055862427_2023-9-27-20-0-43-739999-11.799999952316284_2023-9-27-20-1-40-289999-7.7799999713897705_2023-9-27-20-5-56-299999-5266.2300000190735_,0,2,2023-9-27-2-12-29-460000_2023-9-27-14-0-46-360000_,-9
2023-09-28,100,-5053.8,0,[],0,0,[],-9
2023-09-29,63.7,-4880.0,11,2023-9-29-0-0-0-0-4.009999_2023-9-29-2-35-42-999999-5478.320000171661_2023-9-29-5-23-34-499999-7.99000096321106_2023-9-29-5-24-18-540000-7.9100000858306885_2023-9-29-5-24-50-610000-4.020000219345093_2023-9-29-5-25-18-930000-8.260000228881836_2023-9-29-5-25-51-870000-8.129998922348022_2023-9-29-5-26-24-239999-4.039999961853027_2023-9-29-5-26-52-589999-3.9499998092651367_2023-9-29-5-27-52-969999-4.099999904632568_2023-9-29-7-6-19-449999-25807.91000008583_,0,2,2023-9-29-5-42-6-529999_2023-9-29-18-18-36-569999_,-9
2023-09-30,80.7,-5104.0,1,2023-9-30-19-22-17-710000-16662.29_,0,3,2023-9-30-2-1-30-630000_2023-9-30-2-5-6-730000_2023-9-30-15-23-46-380000_,-9
2023-10-01,19.9,-4187.3,1,2023-10-1-0-0-0-0-69171.009999_,0,1,2023-10-1-22-43-2-59999_,-9
2023-10-02,99.8,-4844.3,13,2023-10-2-0-0-0-0-0.5_2023-10-2-15-3-2-800000-125.96999907493591_2023-10-2-15-5-25-119999-3.190000057220459_2023-10-2-15-6-13-539999-14.370001077651978_2023-10-2-15-6-49-420000-3.4700000286102295_2023-10-2-15-7-17-440000-7.180000066757202_2023-10-2-15-7-46-630000-6.859999895095825_2023-10-2-15-8-16-390000-2.1399989128112793_2023-10-2-15-8-53-759999-6.809999942779541_2023-10-2-15-9-29-9999-3.5199999809265137_2023-10-2-15-9-56-479999-6.970000982284546_2023-10-2-15-10-24-590000-6.979998826980591_2023-10-2-15-10-51-919999-7.000000953674316_,0,2,2023-10-2-9-42-51-350000_2023-10-2-22-51-57-680000_,-9
2023-10-03,41.9,-4991.7,2,2023-10-3-0-0-0-0-2.099999_2023-10-3-10-4-5-349999-50154.650001_,0,0,[],-9
2023-10-04,0,-9,0,[],0,0,[],-9
2023-10-05,0,-9,0,[],0,0,[],-9
